,Author,Title,Rating,Text,Date
607,david_schipani,"Good, not great",6,"""Alien: Romulus"" is... good. Weak-ish first and second acts, stronger third. Could have been VERY good, but two big flaws:1) An off-note performance by a CGI villian.2) Way too many obvious, gratuitous memberberries. The first couple were fine, after that they pulled you out of the narrative.I won't even talk about the writing, because I've come to accept that culture has changed and young writers find it necessary for characters to talk about their feelings and verbally support/encourage other characters. At this point, I'm simply happy when nobody says, ""You're the strongest person I know.""The film also serves as a cautionary tale of the danger of genetically combining Jennifer Lawrence and Ellen Page. The result will be far from Sigourney Weaver.",2024-09-18
608,wedel-02240,Aliens ... alive and kicking,8,"That worked very well and delivered exactly the right dose of dark science fiction, action, creepiness, and suspense that you would expect from a movie in the Alien series.The visuals, special effects, sound effects, overall look, and of course the aliens were top-notch, exactly as you would have hoped for.I found the movie extremely well-paced and appreciated the references to the previous movies, which provided just the right amount of nostalgia by taking some elements and integrating them into a new setting. These references were well-executed without feeling like they were forced in just for the sake of it.The action, in my opinion, was well-choreographed, and I didn't mind too much that some of the alien transformations stages seemed to happen a bit too quickly. For me ok to keep the story in pace and tension high.Alien: Romulus comes close enough to Ridley Scott's and Cameron's masterpieces, but no one would expect the seventh (?) movie of the franchise to outperform the legendary first two. It didn't deliver the big WOWs that only masterpieces can achieve, but it was still a more than solid delivery.",2024-08-17
609,djrmc24,One of the best in the Alien series!,9,"Alien: Romulus exceeded my expectations and I enjoyed it very much. This was the Alien movie that I have been waiting for. The scares were there and the action was top notch. It amazes me how much they were able to do here with such a low budget. The practical effects were amazing and looked very much real. This film also does a great job with connecting all of the other Alien movies together. What I really enjoyed here was how the cast was not supposed to be military trained and were just like your average young adults trying to make a living. There are some really awesome moments in this film where my jaw had dropped, especially during that zero gravity scene. Alien: Romulus is a perfect example of how you can make a great film with a lower budget. It gets a high 9 stars out of 10 from me.",2024-09-22
610,timonsoovik,Finally a good movie again for the Franchise,8,"I had little expectations but was positively surprised.For me its definitely the third best movie of the franchise, behind the first two of course.Never a dull moment, its always exciting.The majority of the CGI was top notch with one major exception, don't know how this went through final qualitry control.The whole technology in the movie reflects part 1 and 2, so we have old monitors with scan lines, lots of sound effects from the first movie, the airlocks etc. (Whereas in Prometheus and or Covenant the tech looked much more advanced than what it should have).Camerawork / Screenplay was nicely done, you could tell they tried to avoid having green screens as much as they could, which was nice to see.Alvarez didnt reinvent Alien, but overall it's definitely worth watching and in my opinion a worthy movie for the franchise again :)",2024-08-17
611,Jonas1969,Some Alien a lot Aliens but also a large dose Resurrection,7,The world building is strong but the characters are weak. The action is great but the fan service bits are terrible. What we get is a bit disjointed but still a mostly enjoyable movie.Romulus tries to connect story elements to the first Alien movie but does so in a very stupid way that will probably annoy most fans of the franchise. It's still better than when it tries to pay homage to Resurrection.. but maybe I'm a bit biased because I really detest that film.The characters are mostly forgettable but they do well with the action scenes - of which there are plenty.Taken as a whole it is still one of the better movies in the franchise though nowhere near as good as the first two.,2024-10-19
612,digraphic,And thriller entertainment!,8,"Watched the whole franchise (Alien 1,2,3 including the prequels; Prometheus and Covenant) 1 weekend before to understand the lore and storyline and I must say I found myself dwelling deeper into all of this.Speaking of the movie, even though being standalone, it was an innovative and engaging movie. The ingenious use of gravity and temperature amazed me. Nothing much to say about dialogue and writing but it has stunning visuals and the use of practical effects by taking help of the original team from Alien (1979). For one moment, Caliey looked like a badass like Ripley from Aliens.Do the characters in this definitely look like a teen movie but Is still watchable and enjoyable.",2024-09-16
613,gringopaul,Seen It All Before,6,"The movie begins with a street scene reminiscent of Blade Runner. It's the first of many , what should we call them, ....thefts...from better, original movies.The new Alien Monster victims are younger than past movies. The plucky heroine never gets fully fleshed out. Her Dad died, leaving her to take care of the idiot synthetic who has the mental capacity of a sweet child. The conflicts between the characters seem forced and unrealistic.The young protagonists somehow steal a space craft from a planet where people are struggling to survive, yet no one goes after it. The young people all see to know how to run spaceships, bypass complex security systems, and dock their smaller stolen craft onto a larger vessel. They find slime, tunnels carved from acidic alien blood, and the halls of the larger vessel are filled with leaking water like it's just normal for a ship with complex electronics to have little streams running through them. All the Alien tropes are there. The only original addition is a new Alien design. It wasn't enough to justify an entire new entry into the series.The photography was good, special effects were up to standard and the actors weren't bad. The first two movies in the series were a 10. Alien: Romulus isn't bad. It just doesn't come close to the two originals.",2024-11-03
614,tonymalfo1,Awful,1,"Poorly made fan film at bestYou'd think the Alien franchise would learn from AvP Requiem and remember it helps if you can see the action. Alien and Aliens etc all happen in dark areas but you can see what's happening this suffers nearly as much as AvP Requiem for bad lighting
And the film is just call backs to past movies while ignoring the basics. Seemed to be more bothered with jump scares and gore than a good script. Impregnating a person and alien birth within minutes for example. An entire planet happens not to notice a large space station above its head apart from some kids? And the same affliction stupid people that deserve to die.Surly there must have been better Alien scripts and Directors than what we've ended up with.",2024-08-23
615,derek-duerden,Must be Difficult Being Out-acted by a Dead Guy,7,"For context - I went to see Alien when it came out, at the then-largest screen in England (Odeon Leicester Square, if I remember correctly) with a bunch of colleagues, and we were all blown away. I lost track for a while, only seeing Aliens on DVD many years later (disappointing, over-hyped by Terminator-fuelled Cameron fanboys I thought) and I've still not seen Alien 3 or any of the others prior to Prometheus.For some reason - possibly the presence of Noomi Rapace - I decided to see Prometheus and really enjoyed it - good actors and acting, plus a cohesive story that extended the lore in (I thought) an interesting way. This naturally led me to view Covenant, and blimey was that a disappointment - no Noomi, terrible story and some really poor CGI.I'm really quite glad therefore that this is a return to the core storyline and somewhat-grungy effects that made the original so compelling. The story is however ""just OK"" even though the way that the tension ratchets and the scares develop is quite well-handled. The main issue for me was the apparent ""YA"" target of the whole cast and the lack of character in most of them. Was I watching ""Maze Runner"" rather than ""Firefly""?, I started to think... Indeed, as the backstory ""developed"" I was seriously considering leaving after about 25 minutes owing to lack of engagement with this teen crew.However, to give credit to Cailee and the director, I did gradually start to care about some of them - but not that much! I can't help feeling that, even with the same script (corny callbacks included) the whole thing would have been much more satisfying with more proper actors on board. They'd then be less likely to be out-acted by a guy who's been dead for 4 years!",2024-09-14
616,Steve9920,"A well done, but vapid teen movie throwback.",6,"Having recently watched Prometheus and then the less satisfying Covenant, I was looking forward to Romulus, expecting some well thought out tie up to the whole Alien affair. With a title of Romulus, surely this would be ripe with meaningful philosophising, clever script, thought provoking ideas?Well, not really, in fact not at all. From the get go when the fresh faced teenage protagonists are introduced, I got that sinking feeling of impending disappointment. Not to say there is no entertainment to be had, as there is. Its very well produced with solid feeling backdrops that feel real and solid, unlike the recent fashion for obvious and unconvincing green screen backdrops. The actors and script are convincing enough, there are some clever action sequences, its all very tangible.However, once you've seen one door closing, door not opening, door sticking sequence, you really do not need a couple of dozen more.Time to eject this increasingly vacuous franchise into the cold vacuum of space I think.",2024-10-20
617,nathanconte-74704,More than an Experience...,10,"I wrote a 1000 letter review but IMDB decided to refresh and i lost it all, but basically:This movie touched both emotionally and physically (literally) , as if i had an alien in my belly ready to burst out offering me car insurance or something. I couldn't even walk properly out the theater, But basically:This film is the PEAK of the Alien franchise, took what made the previous Films great and dials it up to 11, it is so intense it make your brain tell your mouth to open because its gonna need more air,I personally would rank this one all the way up there because i rank them on how i feel leaving the theater, and this one doesn't disappoint, Fede Alvarez made an amazing job on this one, and i'll sum up the movie's three parts in three words:WORRYING. PETRIFYING. HAUNTING.",2024-08-16
618,ohthatguyproductions,"What's good is good. What's bad is......Oy, it's bad.",6,"I'll try not to spoil anything.Huge fan of the Alien franchise and also of Alvarez. I thought 2013's Evil Dead was a vile masterpiece in almost all of the right ways.This movie does plenty of things right. I like the atmosphere and the plot. Certain moments are fantastic and interesting and tense. To speak of what I liked would mean spoilers so...It also does a few things terribly wrong. Many callbacks felt like something a fan would yell from the audience; not actual dialog. They seemed forced by ""The Mouse"" so people could give their friend winking elbows. One actor's Brit-ish sounded like he was trying to talk with a mouthful of water; couldn't understand him. One turn towards the end was so foolish and poorly realized that it almost ruined what I liked about the whole film.",2024-09-21
619,michvanbeek,"Starts slow, but after 30 minutes buckle up!",9,"In 1979 we were shown Alien, an oppressive masterpiece by Ridley Scott, who also immediately launched his career. The film was an unprecedented success and to this day I have a classic of you there. What's even more special is that James Cameron's sequel Aliens beat the original. Perhaps a completely different film than its predecessor, but really one of the best science fiction horror- films in the history of the genre. In the 90s, Alien 3 and Alien: Resurrection followed and then it became quiet around the Xenomorph. Until 2012 and Scott took care of Prometheus highly personally and this was a pleasant surprise. Successor Alien Covenant unfortunately disappointed, but people were waiting for another movie. Rumors were circulating that Neil Blomkamp would make an Alien film in which Sigourney Weaver and Michael Biehn would return, but unfortunately the plug was pulled out of that project. Now Fede Alvarez comes up with a new Alien- film that takes place between Alien and Aliens. Alvarez has already proven several times that he is absolutely worthy of the horror film genre. With the remake of Evil Dead in his pocket and the fantastic Don't Breathe movies, Alvarez seems like the right man to revive the Alien movies.The film takes about thirty minutes to delve into the story of Rain and Andy and basically this is the part that people could fall over. The characters are rather superficial and the story is rather dull and boring. But when Rain arrives on the abandoned ship with her five companions, the gelazer soon begins and you end up in an absolute roller coaster ride. The roar of people that the story is not original or that we don't get to see anything new under the sun, I wonder: what did you expect from a franchise that has been building on the same concept since 1979. Incidentally, the story of Alien at the time did not excel in originality and that is not bad either. Alien: Romulus is set between Alien (1979) and Aliens (1986) and Alvarez lets this film match perfectly. He really grabs the atmosphere very well with the compelling and good soundtrack of the film, but perhaps even more by showing the ships and the equipment on board the ships in the 1979 way. We see video tube monitors that make sounds from the futuristic computer at the time, the camera images that are full of noise and much more that especially characterized the first two Alien- films. It ensures that the continuity remains present and that the film fits perfectly in that regard.Alvarez really gets the oppressive atmosphere very well. Well you can leave that to this director of course, just look at his films Don't Breathe and the remake of Evil Dead. In the tweet hour that the film lasts, you will sit on the cinema chair for an hour and a half with your buttocks pinched together. No, maybe the action is a repetition of moves, yet it is extremely effective. The director who also wrote the story also shows his own creativity in the story. For example, the scene where gravity falls away and the Alien blood flies through the air is really freezing. You have to see for yourself how this proceeds and what the reason is, but tension is guaranteed in any case. What is very cool is that the connection is also found with Prometheus (2012), something that actually makes the Alien universe completely complete and connects well. But don't let me give away or analyze too much for the rest, it is recommended to experience Alien: Romulus for yourself. If it goes through on this foot in this franchise, I can get them out of Scott's Prometheus series and make a few more films that match it.Alien: Romulus starts half an hour slow with a somewhat dull story, but then you have to fasten the belts of your cinema chair well. The film has become a real roller coaster ride, where as a viewer you will sometimes watch with pinched buttocks. Director Fede Alvarez lets this film perfectly match Alien and Aliens by taking over the atmosphere one by one and making the technology in the film the same as in the old films. For example, the screens are simply the familiar monitors that make the futuristic computer sounds at the time. The cameras that have to display what is happening in the oppressive corridors of the ship are also shown again with a lot of noise and falls away and that just makes it that Alien: Romulus connects perfectly. The Facehuggers and Aliens look fantastic and there are some fantastic other things in the movie that I don't want to reveal now. It is advisable to just go to the cinema and experience this movie. The fans will absolutely not be disappointed.",2024-08-24
620,athanasiosze,6.6/10. Borderline recommendable.,7,"Hype is not justified. This is slightly worse even than the COVENANT. And the COVENANT already was not a very good movie. I can see why it's a commercial success, there is a lot of action, action scenes are well directed and the whole second part of the movie is intense. But there's nothing more to it. Script is messy and chaotic. It's not well acted ( except the leading character). Actors are the opposite of charismatic, i could not even remember their faces. Not every actor should be beautiful or attractive of course, so many not good looking actors are great. But they had ""personality"". To be honest, i didn't even care about the fate of these characters. Not only the actors were not charismatic but even their characters were uninteresting and not well written.Still, i gave it a good rating because Alvarez knows how to make a good horror movie and as i said previously, at least Cailee Spaeny was good enough to carry this movie on her shoulders. Even her character was well developed. Overall, build up was good. It's a 2 hours movie but it never got boring, even though the charcters were. I can't say i was on the edge of my seat, but i appreciated it. 2024 is the worst cinematic year of all time, after 2021. At least, ROMULUS is watchable, at worst.",2024-11-11
621,tiskarazupac,Disaster,2,"If you are a real fan of Alien, then this is not the movie for you, there are so many illogicalities in the movie, the placement and forcing of the kids in the movie is a disaster in my opinion, with scenes from recent episodes they are trying to achieve the old glory and most importantly they did not mention the main character, which is Ripley. Aliens could have been made better, so they have no idea to come up with something original, and the director has no idea how to make his film without using things from previous works. I am very disappointed for the unoriginality they have been doing in recent years.",2024-08-18
622,saolivaresm,The return that the saga deserved with one of the best films of the year,8,"The mission was difficult, but Fede Álvarez once again demonstrates that he is one of the best directors currently working in the genre and delivers one of the great films of the year and once again places Alien in the spotlight as it deserved.The great virtue that Alien's return to the big screen offers is that it takes us back to the central spirit of the original. The saga comes back to life and does so at the hands of a director who does not try to discover anything new, but rather takes everything good about the original and updates it to provide a continuation in style, texture, photography and anguish as if it were 1979.It's fueled by a cast that's up to the task, with upcoming star Cailee Spaeny giving us a female lead with all the spirit of Lt. Ripley and her own nuances and style, but the young actress fills the screen at all times and shoulders the spotlight without a hitch. Complemented by a stunning David Jonsson and supporting actors who all shine in their respective places, Archie Renaux, Isabela Merced, Spike Fearn and Aileen Wu know how to convey the fear, desperation and anguish of being hunted by the Xenomorph we hate so much.The intelligence of its director in knowing how to adapt the world of Alien without ever losing the blood of the saga, but at the same time having its own identity with details and updates that make the saga enter into territory that it had not entered and that makes a pleasant impact when it comes to enjoying the proposal in all its dimension. It explores alternative paths that feel satisfactory and at the same time disturbing, which also involves the film feeling that it has a lot to explore and not showing that it is tired or exhausted, in that sense Fede Álvarez, comes out a winner and does so with the style of a great director.Terror is the essence of its director and, pleasantly, he does not leave aside suspense and tension, which stands out both in the visual aspect and in its critical background. It is effective, manages to move with considerable elegance and ingenuity through the well-tested terrain of the saga and provides some unexpected narrative twists.It has effective scares, unforgettable gore, and enough xenomorphs to fill the entire screen, and a lot of handcrafted feel. It's a film that feels like it was created with love and respect, and above all, dedication, which is excitingly appreciated whether you're a fan of the saga or not. The film is pure science fiction and there's no arguing that what its director is proposing is carefully calculated entertainment. It may have lower moments than others, but for the most part the film is completely even. Once you reach the point of no return, the plot doesn't stop and it sticks you to the screen with no way out.I'm left with one of the most satisfying films of 2024, which aims to pay homage to its original, combine the sensations of Isolation and present its own path forward, a perfect challenge that is fully achieved, demonstrating that ideas are not exhausted, you just have to know how to focus them to achieve satisfaction.",2024-10-16
623,iwf120586,Try not to be Too Cynical,9,"Hollywood obviously loves it's recipes and tries to stay safe but this is still a fun, serious and well made movie. I rolled my eyes a few times, but tried to find some great things and give it a fair enough rating. Maybe I would have given it an eight, but def not a seven or a ten.The first act opens with great world building, and a lot of the Weyland-Yutani trope is present. The lights, colors and dialogue are coherent and do not sound cheesy.Second act is predictable enough and you will know how it goes until the third act which is probably how you will guess.Overall the soundtrack doesn't stand out nor do the characters to be honest. The only name I remember is Andy.Very enjoyable though.",2024-08-17
624,DJ_Reticuli,"Acting wasn't bad, suspenseful, horrifying, excellent effects, and faithful looking & sounding, but just a little too overt in the call-backs and mimicry.",7,"Romulus doesn't leave out the other movies, except for perhaps AVP, and has a good continuity with the rest of the franchise, including outings that I'm sure some people wanted to forget. It quite successfully takes a bit from prior alien movies and regurgitates it in a loving way, but at the same time, it's got its own voice and something special.To be honest, I had no idea this was a standalone film. I'd avoided following the development of Romulus because I, for one, didn't want anything about it ruined for me, and two, I thought it was some kind of highly commercial new TV series or miniseries, anyway. Finding out it was a movie was a pleasant surprise in the last few days.It is very good. Nice character development. Heartfelt in a way that successfully hooks you. My only complaint is that there are just sooo many obvious parts that are duplicating exact moments from the other films, and then all the call-backs and nods were excessive and took me out of it at times. I wish it'd just stood on its own feet and not done that quite so much. The duplicated lines of dialogue were especially not needed.People calling this a fan film are not wrong, but I think it's more than that even as-is, and could have been even more if they'd been restrained with the wink winks. If you're a fan of any of the other films, and personally my favorite is the theatrical cut of Aliens, I think you'll nonetheless be happy you saw this on the big screen.",2024-08-24
625,strike_trike,YES YES AND YES!,9,"Alien: Romulus explores the themes of not only sci-fi horror, but it pay homage to the Slasher with an incredible storyline that follows the some formula from Slasher in the 80s.Fede Alvarez deliberately sets his masterpiece into the combination of Slasher Sci-fi/horror with the small group of characters he created. It becomes clear that the characters seem like they're from slasher from the 80s. However, what makes this Alien stands out from other franchises is that it doesn't reveal important information when it's not the right time, which is extremely crucial to its genre.The film slowly takes you its extraordinary world with the character that doesn't know what lies ahead.The further twist is unpredictable, leading to a new method of sci-fi horror creation that it doesn't have to end this way.Just go see it blind. Trust me and you won't be disappointed. 9/10.",2024-08-24
626,ta-98251,A strong return for the franchise,7,"Alien Romulus is the 7th movie in the Alien franchise set between the original Alien and its sequel Aliens.A group of friends from a nearby mining colony find themselves onboard a derelict Space Station when things start to go wrong.I enjoyed Alien Romulus. Firstly it looks great, you get a real sense of scale when onboard the Space Station, it feels like a huge vessel with wide corridors and vast sprawling spaces. There is also strong use of elements including temperature, gravity and sound when flipping between the interior of the space station and space itself.The characters are interesting enough, each driven by their own goals and emotions based on their unique experiences with some characters explored much more than others. The film is well acted especially from the leads, Cailee Spaeny as Rain and David Jonsson who is fantastic as Andy, a difficult character to play. At times, Alien Romulus felt more into an action thriller than horror/suspense to me but I enjoyed the scenes of action, thrill, suspense and horror in the movie.What helped to take this movie up a level is not only did we get a fun Sci-Fi horror thriller set in space that manages to call back to the Alien franchise it also asked us deeper questions about the nature of technology, medicine, human nature and human survival.",2024-09-04
627,thesar-2,Alien's Greatest Hits,8,"If you wanted to love 1979's Alien, but it was too slow for you...here you go.While 1986's Aliens remains both my favorite film in this series and my all-time favorite action movie, this comes VERY close to matching the action in that first sequel. After the obligatory world-building and character development, this is all-but non-stop action.And I'm really digging this interquel (Prequel/Half-Sequels) trend. Starting with 2016's incredible Rogue One: A Star Wars Story and continuing with the great Saw X from 2023, 2024's Alien: Romulus is an absolute perfect match/follow-up to the original 45-years-ago.Rain, her brother and others are desperate to leave the mining planet they're contracted on and when an opportunity arises in the shape of an outer-space ship, they high tail it there. I can't lie to you about their chances, but... they have my sympathies.While 2018's Halloween wasn't an interquel, it must've been an inspiration to these creators. You should be able to find an entire series worth of Alien Eggs (formally known as Easter Eggs) in this movie. And even though it's been a long time since I've seen any of the Alien films, I recognized the multiple nods/nostalgia to the franchise. They were awesome.It wasn't perfect, nor groundbreaking, but if you are a fan, this IS the movie for you. It's a ton of fun, straight-forward and you feel every bit of the tension/stakes. Unfortunately, not anyone here could match Sigourney Weaver or Ripley and one familiar character was pretty badly CGI'd (and luckily, that's the ONLY bad effect in this entire movie.) Still, the characters, at least half of them, were good. It just isn't about the characters this time.This is a major love letter to the original, modernized with creative and fresh ideas to truly kickstart this beloved series again. I'm very much looking forward to more to come.***Final Thoughts: From memory, here's my Alien Franchise ranking:1. Aliens (1986)
2. Alien (1979)
3. Alien: Romulus (2024)
4. Prometheus (2012)
5. Alien vs. Predator (2004)
6. Alien 3 (1992)
7. Alien Resurrection (1997)
8. Aliens vs. Predator: Requiem (2007)
9. Alien: Covenant (2017)",2024-08-18
628,federicofaillace,I only remember andy's name,6,"I'm not a hard fan of the Alien franchise, but I have seen and enjoyed most of the films. I think this movie manages to entertain the audience; it's quite logical with a well-crafted plot that seems to have everything one might expect from these films, but it lacks something.What does it lack? I feel it lacks character development; it's so superficial that you don't connect with any of them. In fact, you hardly remember anyone's names.At the plot level, it also misses something; it doesn't create the same atmosphere of suspense and uncertainty found in other movies of the saga.The movie is good, but it could have been better.",2024-11-02
629,shopwithjustinm,I loved it,10,"This movie was fantastic I was at the edge of my seat and what a 3rd act wow wow wow wow. Fantastic cast and although works around the premise of the 1st movie with callbacks it does it in a way where it's not offensive. I enjoyed the cinematography and high quality production of this movie. At times it bought me out if he screen making me forget I was watching a movie in the first place! Awesome kills, terrifying aliens, and of course stuck in space where no one can hear you, who wouldn't ever be terrified of that of course. I recommend checking this out and you will be in for a ride most definitely!",2024-08-16
630,MooWoolf1,Remember?,6,"The movie at first felt really good. It kept the good things at start (just as the rest of the movies) and also kept the original design of the first movie. I really like that.Then some originality came into the picture. We saw a working colony. That was all original and very good.Later on things somehow started to get out of hand.We literally saw exact part of previous movies, again and again and again.Yea we saw the aliens, there was a tiny bit of originality in that, but all the rest was just copied to try to ride the same train that Star Wars did under disney hands.What was original felt unrealistic in that given universe.Being scared of guns? Come on..What they could have explained ""how do they grow so fast without taking in actual material that would otherwise build the body""... They missed the chance. (At the end we literally had a creature growing very big in about 2 minutes..)The ending was straight up horrible. The design, the idea, the almost exact copy of that scene. Even the fate of the creature was 95% the same..BUT my 2 biggest problems were the followings:1. There was no gravity, It only worked for a few secs before they turned it back on. Now, there was a lab mugs, glasses, everything on table as the people left it. Chairs standing next to the table. The makers of the movie flipped a single chair and that's that.2. You see 10-15 aliens in 0 gravity. The girl kills them. They gotta go back. Blood everywhere. Where are the remains of the aliens? Nowhere. Totally gone. Forgot to add to the scene..This is at the bottom of the alien movies.Sadly people don't like to or just can't think. So Ridley making movie about something more is just a no go for the people. What disney did with Ridley was a disgrace..I'd pay thousands to see what Ridley would have done to finish his idea.",2024-08-18
631,kirpa-59260,Favourite Alien Movie!,10,"I've only seen Alien and Alien 2, not 3 as I hated the way that movie started. Also have seen all the predator Vs alien movies.This is definitely my favourite after giving a few hours to digest. One issue I will say just to remove the negative is there's a bit too many down times, would prefer to keep the tension up however set piece before and after those downtimes are well worth the wait.Gruesome with a great atmosphere and neatly designed moments and environment; every shot from the trailer is in here and just as good. Some of the characters are good, others just alright and expected a bit more but the horror elements more than make up for it.I get the critique that it feels a little like an alien high budget fan film, I got those vibes near the beginning once they board a certain ship however that quickly dissipates and everything falls into place and makes sense soon after, so A plus on that.The third act is wild and experimental for sure but for one loved it, especially the designs and finale, a great end to the movie.Bas excellent cinematography and some of the best space vista shots I've ever seen, ever.Great acting and sound design as well to elevate you into the characters seats and reactions.",2024-08-17
632,martinboo-225-82255,Review of Alien: Romulus in 4DX,10,"Review of Alien: Romulus in 4DXAlien: Romulus brings a fresh perspective to the beloved Alien franchise, seamlessly blending the haunting, claustrophobic terror of the originals with modern filmmaking techniques. Watching it in 4DX only amplified the intensity, creating an immersive experience that makes you feel like you're living the nightmare alongside the characters.From the moment the film begins, the 4DX effects grab your attention. The chairs' movements mimic the shaky, unstable environment of the spacecraft, while atmospheric effects like wind and mist heighten the suspense. The jump scares become even more effective with the added sensory inputs, making the terror feel visceral and immediate.Visually, Romulus nails the iconic aesthetic of the Alien universe. The dark, industrial look of the ship contrasts with the menacing beauty of the Xenomorphs, whose appearances are always accompanied by perfectly timed 4DX elements that will have you gripping your seat. The sound design, enhanced by 4DX speakers, further drives home the relentless tension, immersing you fully in the horror.Overall, Alien: Romulus in 4DX offers a spectacular cinematic experience. The combination of the film's thrilling content and the 4DX effects makes it a must-watch for fans of the franchise and newcomers alike. It's a pulse-pounding, immersive ride that breathes new life into the Alien saga.",2024-08-30
633,coastdaze,"A letdown on one hand, just OK on the other..",4,"I've be a big Alien fan since the first ground-breaking Alien movie with Sigourney Weaver. I'm not usually shocked at a movie these days, especially one that I was so looking forward to seeing. The storyline was boring at best. Nothing, imo, innovative or interesting. I didn't care about any of the characters, they were not interesting, not up to the previous chracters in the franchise's movies. I could always find them interesting, at least. I sat there waiting for the movie to ""take off"", it took a while from the start of the movie to get anything going. And then it was pretty much really loud music and one traumatic scene after another. At the end, my brother said, ""Wow, they threw everything but the kitchen sink in that one."" He's a big Alien fan, too. I had to laugh at his comment because it was so true. All the action scenes, big music and scare tactics don't make up for a lack luster screenplay and uninteresting characters. I'll admit this, at every moment where they went for the shock/surprise factor, I did jump. I sat through the movie feeling embarrassed (can you imagine) for the franchise. I don't like great movie franchises going down in this way. I don't regret seeing it though. I can't imagine the franchise going on, but if it does, I'll probably continue to hope for another great Alien movie. Sorry I don't have much to say about the movie...there wasn't much there for me other than the loud music and action scenes, neither of which made it a good movie. If there was a ""Meh"" category, that's where I'd put it.",2024-08-17
634,watsonjmax,Felt like the originals... Classic Alien vibes,10,"Great survival horror with suspense that echos the original alien movies, finally a good alien movie since the abomination of The Covenant and Prometheus. Great characters, full of action and a couple good edge of your seat moments and it leaves you wanting more. There were a couple great throwbacks to the original movies, I loved that the tech and settings very much felt like the movie could follow the original Alien and Aliens. ""The best in the franchise since then"" and after Alien Romulus the consensus needs to be that we need more Alien movies with this vision. A familiar face from the 1979 movie too!",2024-08-16
635,jon_pratt12345,Enjoyable if Unoriginal Action Film,6,"Alien: Romulus leans in to the style and aesthetic of Alien and Aliens. Much of the film takes place onboard a grimy, dark spaceship so there are many similarities to be drawn straight away.The first quarter of the film does well to build on the world of the Weyland company and its workforce. Which is a part of the lore I had always found fascinating. It's a great reminder that at the core of the alien franchise lies a stornch anti-capitalist message.The rest of the film is an action-oriented thrill ride. Every scene, shot and piece of dialogue is efficiently used to drive forward the plot and lay the ground for something to come, everything the audience is shown is necessary and pays off. So in that regard it's a satisfying, expertly crafted, propulsive action film.What Alien: Romulus lacks however is a genuine sense of originality. Of course this may be a foolish expectation, given it is part of a franchise. But in it's devotion to craft and very obvious yet affectionate borrowing from the early films, Alien: Romulus didn't deliver a fresh perspective. Which for me is needed in order to justify the continuation of the franchise.",2024-08-24
636,allmoviesfan,Loved it!,9,"It's fair to say that 2024's ""Alien: Romulus"" is something of a greatest hits homage to the excellent entries into the franchise that have preceded it.All the iconic plot devices/developments you love most about ""Alien"" movies are here (and would cause disappointment if they were left out) and, if you ask me, that's not a bad thing.At the same time, there are a few new inventive sequences as well: director Fede Alvarez adding a little to the ""Alien"" lore himself.What else? Good pacing, decent acting, a decent script and spectacular visual effects.If you're a fan of the franchise, I think you're going to come away from watching the latest instalment quite satisfied. I know I was.",2024-10-25
637,andepand,Fantastic,10,"Absolutely loved it. After so many Alien movies, finally a worthy sequel to the original. Everything is in place here; the retro futuristic Alien ecstatic, which is so well done, the constant tension, which feels to me a bit like Alien Isolation, a powerful yet vulnerable main charcter and the Xenomorph which is scarier then ever.The acting, the action and direction are rock solid and the CGI, though well done never feel like the main focus like in so many movies these days.This movie is clearly made by people who love the franchise and its clearly a homage to the original.If you like the genre and want to have fun watching a movie, go see it and don't mind the sour movie critics who seem to have forgotten what movies are all about.",2024-10-19
638,carsandfigures,worth giving their franchise another chance,6,"With the alien franchise serving us warm poo for years ( alien 3 last watchable movie) they finally make something watchable, with some decent characters , and an ok plot , no spoilers but if a certain item was so important why didn't weyland just recover it themselves. Nice tie in to other movies , not just saying hey there is some random aliens for some reason . Few silly scenes that don't need to be there , zero G corridor seems pointless. My main issue comes at the end , film should end with character turning off auto pilot , and flying off into sunset , but no it continues for another 10-20 mins of pointless tacked on end rubbish , when you watch you will get it . I deffo would have cut that onto floor and had as directors cut special.",2024-08-19
639,hicktonj-31238,7.5/10 easily,8,"What a great film, I loved the story, I love the simplicity of the movie. It felt like an alien movie. It was more intense than my prediction but less gory than my prediction. However I don't care. I truely thought this film was great.Not everyone will love this movie, it is sci-fi. It is intense and it is dark. It feels like a relief when it is over as for the majority of the movie you are on the edge of your seat.Things are done well, the film is shot well. The lighting is great, the practical effects are great.I would love to sit through it again. I saw it in IMAX and wish everyone does too.The film is a movie everyone should support as the industry needs more films like this.",2024-08-15
